"","taillesPop","iterations","F","CRs"
"1",80,137,1,0.5
"2",114,138,1.032,0.528
"3",149,139,1.064,0.556
"4",115,140,1.096,0.584
"5",81,141,1.128,0.612
"6",46,142,1.16,0.64
"7",11,142,1.192,0.668
"8",43,143,1.224,0.696
"9",77,144,1.256,0.724
"10",112,145,1.288,0.752
"11",147,146,1.32,0.78
"12",118,147,1.352,0.808
"13",83,148,1.384,0.836
"14",48,149,1.416,0.864
"15",13,150,1.448,0.892
"16",40,151,1.48,0.92
"17",75,151,1.512,0.948
"18",110,152,1.544,0.976
"19",144,153,1.576,0.996
"20",120,154,1.608,0.968
"21",85,155,1.64,0.94
"22",50,156,1.672,0.912
"23",16,157,1.704,0.884
"24",38,158,1.736,0.856
"25",73,159,1.768,0.828
"26",107,160,1.8,0.8
"27",142,160,1.832,0.772
"28",122,161,1.864,0.744
"29",87,162,1.896,0.716
"30",53,163,1.928,0.688
"31",18,164,1.96,0.66
"32",36,165,1.992,0.632
"33",71,166,1.976,0.604
"34",105,167,1.944,0.576
"35",140,168,1.912,0.548
"36",124,169,1.88,0.52
"37",90,169,1.848,0.492
"38",55,170,1.816,0.464
"39",20,171,1.784,0.436
"40",34,172,1.752,0.408
"41",68,173,1.72,0.38
"42",103,174,1.688,0.352
"43",138,175,1.656,0.324
"44",127,176,1.624,0.296
"45",92,177,1.592,0.268
"46",57,178,1.56,0.24
"47",22,178,1.528,0.212
"48",31,179,1.496,0.184
"49",66,180,1.464,0.156
"50",101,181,1.432,0.128
"51",135,182,1.4,0.1
"52",129,183,1.368,0.072
"53",94,184,1.336,0.0440000000000001
"54",59,185,1.304,0.0160000000000002
"55",25,186,1.272,0.0120000000000003
"56",29,187,1.24,0.0400000000000001
"57",64,187,1.208,0.0680000000000003
"58",99,188,1.176,0.0960000000000001
"59",133,189,1.144,0.124
"60",131,190,1.112,0.152
"61",96,191,1.08,0.18
"62",62,192,1.048,0.208
"63",27,193,1.016,0.236
"64",27,194,0.984,0.264
"65",62,195,0.952,0.292
"66",96,196,0.92,0.32
"67",131,196,0.888,0.348
"68",133,197,0.856,0.376
"69",99,198,0.824,0.404
"70",64,199,0.792,0.432
"71",29,200,0.76,0.46
"72",25,201,0.728,0.488
"73",59,202,0.696,0.516
"74",94,203,0.664,0.544
"75",129,204,0.632,0.572
"76",135,205,0.6,0.6
"77",101,205,0.568,0.628
"78",66,206,0.536,0.656
"79",31,207,0.504,0.684
"80",22,208,0.472,0.712
"81",57,209,0.44,0.74
"82",92,210,0.408,0.768
"83",127,211,0.376,0.796
"84",138,212,0.344,0.824
"85",103,213,0.312,0.852
"86",68,214,0.28,0.88
"87",34,214,0.248,0.908
"88",20,215,0.216,0.936
"89",55,216,0.184,0.964
"90",90,217,0.152,0.992000000000001
"91",124,218,0.12,0.98
"92",140,219,0.0879999999999996,0.952
"93",105,220,0.0559999999999996,0.924
"94",71,221,0.0239999999999988,0.896
"95",36,222,0.00800000000000034,0.868
"96",18,223,0.04,0.84
"97",53,223,0.0720000000000001,0.812
"98",87,224,0.104,0.784
"99",122,225,0.136,0.756
"100",142,226,0.168,0.728
"101",108,227,0.2,0.7
"102",73,228,0.232,0.672
"103",38,229,0.264,0.644
"104",16,230,0.296,0.616
"105",50,231,0.328,0.588
"106",85,231,0.36,0.56
"107",120,232,0.392,0.532
"108",144,233,0.424,0.504
"109",110,234,0.456,0.476
"110",75,235,0.488,0.448
"111",40,236,0.52,0.419999999999999
"112",13,237,0.552,0.392
"113",48,238,0.584,0.364
"114",83,239,0.616,0.336
"115",118,240,0.648,0.308
"116",147,241,0.68,0.28
"117",112,241,0.712,0.252
"118",77,242,0.744,0.224
"119",43,243,0.776,0.196
"120",11,244,0.808,0.168
"121",46,245,0.84,0.14
"122",81,246,0.872,0.112
"123",115,247,0.904,0.084
"124",149,248,0.936,0.056
"125",114,249,0.968,0.0280000000000002
"126",80,250,1,0
"127",45,249,1.032,0.0279999999999998
"128",10,248,1.064,0.0559999999999997
"129",44,247,1.096,0.0840000000000003
"130",78,246,1.128,0.112
"131",113,245,1.16,0.14
"132",148,244,1.192,0.168
"133",116,243,1.224,0.196
"134",82,242,1.256,0.224
"135",47,241,1.288,0.252
"136",12,241,1.32,0.28
"137",41,240,1.352,0.308
"138",76,239,1.384,0.336
"139",111,238,1.416,0.364
