"","taillesPop","iterations","F","CRs"
"1",175,575,1,0.5
"2",237,577,1.032,0.53
"3",298,579,1.064,0.56
"4",239,581,1.096,0.59
"5",177,583,1.128,0.62
"6",115,585,1.16,0.65
"7",53,587,1.192,0.68
"8",109,589,1.224,0.71
"9",171,591,1.256,0.74
"10",232,593,1.288,0.77
"11",295,596,1.32,0.8
"12",243,598,1.352,0.83
"13",181,600,1.384,0.86
"14",118,602,1.416,0.89
"15",56,604,1.448,0.92
"16",105,606,1.48,0.95
"17",167,608,1.512,0.98
"18",229,610,1.544,0.99
"19",291,612,1.576,0.96
"20",246,614,1.608,0.93
"21",184,617,1.64,0.9
"22",122,619,1.672,0.87
"23",61,621,1.704,0.84
"24",101,623,1.736,0.81
"25",162,625,1.768,0.78
"26",224,627,1.8,0.75
"27",287,629,1.832,0.72
"28",250,631,1.864,0.69
"29",188,633,1.896,0.66
"30",126,635,1.928,0.63
"31",64,638,1.96,0.6
"32",96,640,1.992,0.57
"33",159,642,1.976,0.54
"34",220,644,1.944,0.51
"35",283,646,1.912,0.48
"36",254,648,1.88,0.45
"37",193,650,1.848,0.42
"38",131,652,1.816,0.39
"39",68,654,1.784,0.36
"40",93,656,1.752,0.33
"41",155,659,1.72,0.3
"42",217,661,1.688,0.27
"43",279,663,1.656,0.24
"44",258,665,1.624,0.21
"45",197,667,1.592,0.18
"46",135,669,1.56,0.15
"47",72,671,1.528,0.12
"48",89,673,1.496,0.0900000000000001
"49",150,675,1.464,0.0599999999999999
"50",212,677,1.432,0.03
"51",274,680,1.4,0
"52",263,682,1.368,0.03
"53",200,684,1.336,0.0599999999999999
"54",139,686,1.304,0.09
"55",76,688,1.272,0.12
"56",85,690,1.24,0.15
"57",147,692,1.208,0.18
"58",209,694,1.176,0.21
"59",271,696,1.144,0.24
"60",266,698,1.112,0.27
"61",204,701,1.08,0.3
"62",142,703,1.048,0.33
"63",81,705,1.016,0.36
"64",81,707,0.984,0.39
"65",143,709,0.952,0.42
"66",205,711,0.92,0.45
"67",266,713,0.888,0.48
"68",271,715,0.856,0.51
"69",209,717,0.824,0.54
"70",146,719,0.792,0.57
"71",84,722,0.76,0.6
"72",76,724,0.728,0.63
"73",138,726,0.696,0.66
"74",200,728,0.664,0.69
"75",263,730,0.632,0.72
"76",274,732,0.6,0.75
"77",212,734,0.568,0.78
"78",150,736,0.536,0.81
"79",88,738,0.504,0.84
"80",73,740,0.472,0.87
"81",135,743,0.44,0.9
"82",196,745,0.408,0.93
"83",259,747,0.376,0.96
"84",279,749,0.344,0.99
"85",216,751,0.312,0.98
"86",155,753,0.28,0.95
"87",92,755,0.248,0.92
"88",69,757,0.216,0.89
"89",130,759,0.184,0.86
"90",193,761,0.152,0.83
"91",254,764,0.12,0.8
"92",282,766,0.0879999999999996,0.77
"93",220,768,0.0559999999999996,0.74
"94",158,770,0.0239999999999988,0.71
"95",96,772,0.00800000000000034,0.68
"96",65,774,0.04,0.65
"97",126,776,0.0720000000000001,0.62
"98",189,778,0.104,0.59
"99",250,780,0.136,0.56
"100",286,782,0.168,0.53
"101",225,785,0.2,0.5
"102",162,787,0.232,0.47
"103",101,789,0.264,0.44
"104",61,791,0.296,0.41
"105",123,793,0.328,0.38
"106",184,795,0.36,0.35
"107",246,797,0.392,0.32
"108",291,799,0.424,0.29
"109",228,801,0.456,0.26
"110",166,803,0.488,0.23
"111",104,806,0.52,0.2
"112",57,808,0.552,0.17
"113",119,810,0.584,0.14
"114",181,812,0.616,0.11
"115",243,814,0.648,0.0799999999999996
"116",295,816,0.68,0.0499999999999998
"117",232,818,0.712,0.02
"118",171,820,0.744,0.00999999999999951
"119",108,822,0.776,0.0400000000000001
"120",52,824,0.808,0.0700000000000001
"121",115,827,0.84,0.1
"122",177,829,0.872,0.13
"123",239,831,0.904,0.16
"124",299,833,0.936,0.19
"125",237,835,0.968,0.22
"126",175,837,1,0.25
"127",112,839,1.032,0.28
"128",51,841,1.064,0.31
"129",111,843,1.096,0.34
"130",173,845,1.128,0.370000000000001
"131",235,848,1.16,0.4
"132",297,850,1.192,0.43
"133",241,852,1.224,0.46
"134",178,854,1.256,0.49
"135",117,856,1.288,0.52
"136",54,858,1.32,0.55
"137",106,860,1.352,0.58
"138",169,862,1.384,0.61
"139",231,864,1.416,0.64
"140",293,866,1.448,0.67
"141",244,869,1.48,0.7
"142",183,871,1.512,0.73
